GT,Score
['Mandibulofacial dysostosis-microcephaly syndrome'],P0
['Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome'],P5
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
['Cerebrocostomandibular syndrome'],P0
"['Spondylometaphyseal dysplasia, Sedaghatian type']",P0
"['Spondylometaphyseal dysplasia, Sedaghatian type']",P5
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P5
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
['Autosomal recessive primary microcephaly'],P0
['Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome'],P0
['Shprintzen-Goldberg syndrome'],P5
['SHORT syndrome'],P0
['Combined immunodeficiency-enteropathy spectrum'],P0
['Alacrimia-choreoathetosis-liver dysfunction syndrome'],P0
